!def(FEAT_GUI_W32),
def(NBDEBUG),
def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
True,
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(FEAT_TERMRESPONSE),
def(PROTO),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
def(__BORLANDC__),
!def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
def(DEBUG),
def(LESSTIF_VERSION),
!def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
!def(NO_CONSOLE),
def(WSDEBUG),
def(INET_SOCKETS),
!def(PROTO),
