!def(PROTO),
!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(NBDEBUG),
def(LESSTIF_VERSION),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TOOLBAR),
True,
def(FEAT_TERMRESPONSE),
def(__BORLANDC__),
def(MCH_WRITE_DUMP),
!def(NO_CONSOLE),
def(DEBUG),
def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
