!def(PROTO),
def(FEAT_TOOLBAR),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
True,
!def(NO_CONSOLE),
def(FEAT_MBYTE),
!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(FEAT_RIGHTLEFT),
def(NBDEBUG),
def(INET_SOCKETS),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
def(__BORLANDC__),
def(WSDEBUG),
def(FEAT_FKMAP),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
def(DEBUG),
def(FEAT_CLIPBOARD),
def(FEAT_TERMRESPONSE),
def(MCH_WRITE_DUMP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_W32),
def(PROTO),
def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
