(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
def(FEAT_TOOLBAR),
def(JUMPLIST_ROTATE),
def(FEAT_RIGHTLEFT),
def(NBDEBUG),
def(LESSTIF_VERSION),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)&(def(FEAT_GUI_GTK)|def(FEAT_GUI_W32))),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_MOTIF),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_W32)),
!def(FEAT_BEVAL),
!def(FEAT_RIGHTLEFT),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_GTK)),
def(FEAT_MBYTE),
def(EBCDIC),
def(DEBUG),
True,
def(WIN64),
!def(NO_CONSOLE),
!def(RISCOS),
def(FEAT_BEVAL),
def(FEAT_GUI),
!def(WIN64),
(!def(FEAT_GUI_MOTIF)&(def(FEAT_GUI_GTK)|def(FEAT_GUI_W32))&def(FEAT_GUI_W32)),
def(FEAT_GUI_GTK),
!def(EBCDIC),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
(!def(FEAT_BEVAL)&def(FEAT_NETBEANS_INTG)),
(def(NBDEBUG)&def(FEAT_GUI_W32)),
!def(FEAT_GUI_W32),
def(FEAT_GUI_MOTIF),
