def(FEAT_EMACS_TAGS),
!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
!def(FEAT_EMACS_TAGS),
def(JUMPLIST_ROTATE),
def(PROTO),
!def(FEAT_RIGHTLEFT),
!def(FEAT_MBYTE),
def(FEAT_MBYTE),
!def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
def(MCH_WRITE_DUMP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(__BORLANDC__),
def(FEAT_GUI),
True,
!def(PROTO),
def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(FEAT_CLIPBOARD),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
def(DEBUG),
def(WSDEBUG),
!def(FEAT_GUI_W32),
!def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
def(FEAT_BEVAL),
def(WSDEBUG_TRACE),
def(FEAT_RIGHTLEFT),
