!def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
True,
def(FEAT_TOOLBAR),
def(FEAT_FKMAP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
def(FEAT_RIGHTLEFT),
def(_WIN32),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(PROTO),
def(INET_SOCKETS),
def(MAIN),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(FEAT_MBYTE),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_W32),
def(NBDEBUG),
def(WIN32),
!def(NO_CONSOLE),
