!def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_PROFILE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
!def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(DEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(PROTO),
def(MAIN),
def(WIN32),
def(FEAT_BEVAL_GUI),
def(WSDEBUG),
True,
def(_WIN32),
!def(FEAT_PROFILE),
def(FEAT_JOB_CHANNEL),
def(__MINT__),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_W32),
