def(__MINT__),
def(PROTO),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG),
def(MAIN),
def(FEAT_JOB_CHANNEL),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG_TRACE)),
!def(FEAT_PROFILE),
!def(FEAT_BEVAL_GUI),
def(WIN32),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(INET_SOCKETS),
def(_WIN32),
!def(FEAT_GUI_W32),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG_SENSE)),
!def(UNIX),
def(FEAT_GUI_W32),
def(UNIX),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG)),
def(DEBUG),
!def(INET_SOCKETS),
def(FEAT_TOOLBAR),
True,
def(FEAT_PROFILE),
def(ABORT_ON_INTERNAL_ERROR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
