!def(FEAT_GUI_W32),
def(FEAT_PROFILE),
def(_WIN32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(MAIN),
!def(FEAT_GUI_GTK),
def(WIN32),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
True,
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(NBDEBUG),
!def(FEAT_PROFILE),
def(FEAT_TOOLBAR),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
!def(INET_SOCKETS),
def(PROTO),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(FEAT_JOB_CHANNEL),
def(FEAT_TERMRESPONSE),
def(UNIX),
def(__MINT__),
def(FEAT_BEVAL_GUI),
!def(UNIX),
def(WSDEBUG_TRACE),
def(DEBUG),
