(!def(PROTO)&!def(__BORLANDC__)),
(!def(FEAT_BEVAL)&def(NOIME)),
def(LESSTIF_VERSION),
def(EBCDIC),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
True,
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
!def(FEAT_MBYTE),
def(FEAT_BEVAL),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(FEAT_FKMAP),
def(FEAT_GUI_W32),
!def(EBCDIC),
def(FEAT_TERMRESPONSE),
def(FEAT_DND),
!def(LESSTIF_VERSION),
!def(RISCOS),
def(FEAT_TOOLBAR),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(WSDEBUG_SENSE),
def(FEAT_MBYTE),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
