!def(FEAT_MBYTE),
def(FEAT_SUN_WORKSHOP),
!def(NO_CONSOLE),
def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(WSDEBUG),
!def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(FEAT_MBYTE),
True,
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(__BORLANDC__),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(DEBUG),
def(FEAT_GUI_W32),
!def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
