!def(NO_CONSOLE),
def(__BORLANDC__),
def(NBDEBUG),
!def(RISCOS),
def(WSDEBUG_TRACE),
def(FEAT_SUN_WORKSHOP),
!def(PROTO),
def(FEAT_TERMRESPONSE),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
def(DEBUG),
!def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(RISCOS),
def(WSDEBUG),
def(FEAT_MBYTE),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
!def(FEAT_RIGHTLEFT),
True,
!def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_FKMAP),
def(MCH_WRITE_DUMP),
def(FEAT_CLIPBOARD),
!def(FEAT_MBYTE),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(PROTO),
def(FEAT_GUI),
