def(FEAT_BEVAL_GUI),
True,
def(FEAT_PROFILE),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WSDEBUG),
def(WIN32),
def(WSDEBUG_SENSE),
def(MAIN),
!def(FEAT_PROFILE),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(_WIN32),
def(FEAT_JOB_CHANNEL),
!def(INET_SOCKETS),
def(WSDEBUG_TRACE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_TOOLBAR),
def(PROTO),
def(__MINT__),
!def(FEAT_GUI_W32),
