!def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
!def(PROTO),
def(FEAT_MBYTE),
def(WSDEBUG),
def(FEAT_TERMRESPONSE),
def(PROTO),
!def(NO_CONSOLE),
def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(FEAT_TOOLBAR),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
!def(FEAT_MBYTE),
def(__BORLANDC__),
def(FEAT_SUN_WORKSHOP),
def(FEAT_BEVAL),
def(RISCOS),
!def(RISCOS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(FEAT_GUI),
True,
def(NBDEBUG),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
