!def(FEAT_MBYTE),
!def(FEAT_GUI_W32),
def(FEAT_GUI_W32),
def(EBCDIC),
def(FEAT_TOOLBAR),
def(RISCOS),
!def(EBCDIC),
def(PROTO),
def(FEAT_MBYTE),
!def(PROTO),
def(MCH_WRITE_DUMP),
def(LESSTIF_VERSION),
def(FEAT_GUI),
def(FEAT_FKMAP),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
True,
def(DEBUG),
def(FEAT_BEVAL),
!def(RISCOS),
!def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
def(__BORLANDC__),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG),
!def(NO_CONSOLE),
