(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(FEAT_GUI_W32),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(FEAT_DND),
!def(EBCDIC),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
!def(RISCOS),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
(!def(PROTO)&!def(__BORLANDC__)),
def(WSDEBUG_TRACE),
(!def(FEAT_BEVAL)&def(NOIME)),
True,
!def(LESSTIF_VERSION),
!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
def(EBCDIC),
