def(FEAT_CLIPBOARD),
def(FEAT_GUI),
def(WSDEBUG),
!def(INET_SOCKETS),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
def(LESSTIF_VERSION),
def(__BORLANDC__),
def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_W32),
True,
def(FEAT_MBYTE),
def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
!def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
