!def(PROTO),
def(FEAT_RIGHTLEFT),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
True,
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
def(__BORLANDC__),
!def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(FEAT_FKMAP),
def(FEAT_CLIPBOARD),
def(FEAT_GUI),
def(DEBUG),
def(LESSTIF_VERSION),
!def(INET_SOCKETS),
!def(FEAT_BEVAL),
def(FEAT_MBYTE),
def(PROTO),
!def(NO_CONSOLE),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_GTK),
