!def(FEAT_GUI_GTK),
def(WSDEBUG),
def(FEAT_MBYTE),
def(LESSTIF_VERSION),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_FKMAP),
def(PROTO),
!def(INET_SOCKETS),
def(NBDEBUG),
def(FEAT_BEVAL),
def(__BORLANDC__),
!def(PROTO),
def(FEAT_RIGHTLEFT),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
True,
def(INET_SOCKETS),
def(DEBUG),
!def(NO_CONSOLE),
