!def(EBCDIC),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
def(FEAT_MBYTE),
def(FEAT_GUI_W32),
def(FEAT_DND),
def(LESSTIF_VERSION),
def(EBCDIC),
def(WSDEBUG_SENSE),
(!def(PROTO)&!def(__BORLANDC__)),
!def(RISCOS),
def(FEAT_BEVAL),
True,
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(WSDEBUG_TRACE),
!def(NO_CONSOLE),
(!def(FEAT_BEVAL)&def(NOIME)),
!def(FEAT_MBYTE),
def(FEAT_GUI),
def(FEAT_FKMAP),
!def(LESSTIF_VERSION),
def(FEAT_TOOLBAR),
