!def(NO_CONSOLE),
!def(FEAT_BEVAL),
def(NBDEBUG),
!def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(PROTO),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(WSDEBUG),
def(FEAT_TERMRESPONSE),
True,
!def(INET_SOCKETS),
def(DEBUG),
def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(MCH_WRITE_DUMP),
def(__BORLANDC__),
