!def(INET_SOCKETS),
def(INET_SOCKETS),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
!def(FEAT_BEVAL),
True,
def(WSDEBUG),
def(PROTO),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_GTK),
def(NBDEBUG),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
!def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(DEBUG),
def(WSDEBUG_SENSE),
def(__BORLANDC__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
