!def(FEAT_PROFILE),
def(FEAT_PROFILE),
def(WSDEBUG_SENSE),
def(MAIN),
def(WSDEBUG),
def(WSDEBUG_TRACE),
def(_WIN32),
def(LESSTIF_VERSION),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
def(INET_SOCKETS),
True,
def(WIN32),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(PROTO),
!def(INET_SOCKETS),
def(DEBUG),
!def(FEAT_GUI_GTK),
def(FEAT_JOB_CHANNEL),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_BEVAL),
def(__MINT__),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
