!def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(WSDEBUG),
def(MAIN),
def(WSDEBUG_TRACE),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(PROTO),
def(__MINT__),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
def(NBDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WIN32),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(FEAT_PROFILE),
def(FEAT_BEVAL_GUI),
def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
def(_WIN32),
def(INET_SOCKETS),
!def(FEAT_PROFILE),
