def(FEAT_JOB_CHANNEL),
def(WSDEBUG_SENSE),
def(__MINT__),
def(PROTO),
def(WIN32),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(INET_SOCKETS),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_PROFILE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
def(WSDEBUG),
def(FEAT_BEVAL_GUI),
def(DEBUG),
def(FEAT_GUI_W32),
def(MAIN),
def(_WIN32),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
True,
!def(FEAT_PROFILE),
def(WSDEBUG_TRACE),
