!def(FEAT_PROFILE),
!def(FEAT_GUI_W32),
def(DEBUG),
def(WSDEBUG_TRACE),
def(WIN32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(FEAT_PROFILE),
def(PROTO),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
True,
def(LESSTIF_VERSION),
def(_WIN32),
def(__MINT__),
def(FEAT_TOOLBAR),
def(WSDEBUG),
!def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_JOB_CHANNEL),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
def(FEAT_BEVAL),
def(MAIN),
