!def(FEAT_BEVAL),
def(DEBUG),
def(__BORLANDC__),
def(LESSTIF_VERSION),
def(NBDEBUG),
!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(FEAT_FKMAP),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
True,
def(FEAT_TOOLBAR),
def(MCH_WRITE_DUMP),
def(INET_SOCKETS),
def(FEAT_CLIPBOARD),
def(WSDEBUG_TRACE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(FEAT_MBYTE),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
!def(PROTO),
def(WSDEBUG),
