!def(INET_SOCKETS),
def(FEAT_CLIPBOARD),
def(PROTO),
def(__BORLANDC__),
def(FEAT_MBYTE),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
def(INET_SOCKETS),
!def(FEAT_GUI_W32),
!def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(MCH_WRITE_DUMP),
def(FEAT_GUI_GTK),
def(DEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
!def(NO_CONSOLE),
def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
def(FEAT_FKMAP),
def(NBDEBUG),
def(WSDEBUG),
def(WSDEBUG_SENSE),
!def(PROTO),
def(WSDEBUG_TRACE),
def(FEAT_RIGHTLEFT),
