def(FEAT_FLOAT),
def(FEAT_PROFILE),
def(FEAT_MBYTE),
def(FEAT_JOB_CHANNEL),
!def(INET_SOCKETS),
def(WIN32),
def(FEAT_TOOLBAR),
def(__MINT__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
True,
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(DEBUG),
def(WSDEBUG),
def(LESSTIF_VERSION),
def(FEAT_RIGHTLEFT),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(_WIN32),
def(FEAT_SUN_WORKSHOP),
def(FEAT_FKMAP),
!def(FEAT_PROFILE),
def(MAIN),
def(PROTO),
def(FEAT_TERMRESPONSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL_GUI),
def(NBDEBUG),
