!def(FEAT_RIGHTLEFT),
def(FEAT_MBYTE),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
def(FEAT_RIGHTLEFT),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
True,
def(PROTO),
def(__BORLANDC__),
!def(INET_SOCKETS),
def(FEAT_BEVAL),
def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_MBYTE),
def(WSDEBUG_SENSE),
def(WSDEBUG),
!def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
!def(PROTO),
def(DEBUG),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
