!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
!def(FEAT_PROFILE),
def(FEAT_PROFILE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_JOB_CHANNEL),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
def(WSDEBUG),
!def(FEAT_GUI_GTK),
def(_WIN32),
def(MAIN),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
True,
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
def(__MINT__),
def(FEAT_TERMRESPONSE),
def(DEBUG),
def(WIN32),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
!def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
