!def(RISCOS),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
def(FEAT_DND),
def(FEAT_GUI_W32),
def(FEAT_GUI),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
True,
def(WSDEBUG_SENSE),
def(FEAT_TERMRESPONSE),
!def(EBCDIC),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
(!def(FEAT_BEVAL)&def(NOIME)),
def(WSDEBUG_TRACE),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
!def(LESSTIF_VERSION),
def(LESSTIF_VERSION),
def(FEAT_MBYTE),
!def(FEAT_MBYTE),
(!def(PROTO)&!def(__BORLANDC__)),
def(FEAT_BEVAL),
def(FEAT_FKMAP),
def(EBCDIC),
def(FEAT_TOOLBAR),
