(def(HPUX_DIGRAPHS)&!def(__MINT__)),
!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
True,
def(WIN32),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
def(_WIN32),
def(NBDEBUG),
def(FEAT_MBYTE),
def(FEAT_JOB_CHANNEL),
def(MAIN),
def(FEAT_BEVAL),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(DEBUG),
!def(FEAT_PROFILE),
def(PROTO),
def(__MINT__),
def(FEAT_GUI),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_PROFILE),
def(WSDEBUG_TRACE),
