!def(FEAT_MBYTE),
def(WSDEBUG_TRACE),
def(LESSTIF_VERSION),
True,
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(__BORLANDC__),
def(FEAT_EMACS_TAGS),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(RISCOS),
def(FEAT_MBYTE),
def(FEAT_RIGHTLEFT),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
!def(PROTO),
def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(DEBUG),
!def(FEAT_EMACS_TAGS),
!def(RISCOS),
!def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(FEAT_FKMAP),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
