!def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(PROTO),
def(FEAT_RIGHTLEFT),
def(WSDEBUG),
def(FEAT_MBYTE),
def(NBDEBUG),
True,
def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(FEAT_FKMAP),
!def(PROTO),
def(RISCOS),
def(JUMPLIST_ROTATE),
!def(FEAT_MBYTE),
def(DEBUG),
!def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(WSDEBUG_SENSE),
def(FEAT_TERMRESPONSE),
!def(RISCOS),
def(LESSTIF_VERSION),
!def(EBCDIC),
def(FEAT_TOOLBAR),
def(EBCDIC),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(__BORLANDC__),
(!def(HAVE_GTK2)&def(FEAT_GUI_GTK)),
!def(FEAT_RIGHTLEFT),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
