!def(NO_CONSOLE),
def(INET_SOCKETS),
!def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
True,
def(WSDEBUG_SENSE),
!def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_GTK),
def(__BORLANDC__),
def(WSDEBUG_TRACE),
!def(PROTO),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
def(FEAT_MBYTE),
def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(PROTO),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
!def(INET_SOCKETS),
def(WSDEBUG),
def(DEBUG),
!def(FEAT_MBYTE),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
