!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
def(LESSTIF_VERSION),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI),
def(MAIN),
def(_WIN32),
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(NBDEBUG),
def(WSDEBUG),
def(PROTO),
True,
!def(INET_SOCKETS),
def(DEBUG),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(WIN32),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
