def(UNIX),
def(FEAT_SUN_WORKSHOP),
def(_WIN32),
def(FEAT_PROFILE),
def(FEAT_FKMAP),
True,
def(WSDEBUG_SENSE),
!def(FEAT_PROFILE),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
def(NBDEBUG),
!def(FEAT_GUI_GTK),
def(__MINT__),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_RIGHTLEFT),
def(FEAT_MBYTE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(DEBUG),
def(WIN32),
def(MAIN),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WSDEBUG),
def(INET_SOCKETS),
def(FEAT_BEVAL_GUI),
def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
!def(INET_SOCKETS),
def(PROTO),
!def(UNIX),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
