!def(FEAT_GUI_GTK),
def(FEAT_CLIPBOARD),
def(LESSTIF_VERSION),
def(WSDEBUG),
!def(NO_CONSOLE),
!def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
True,
def(INET_SOCKETS),
def(FEAT_BEVAL),
def(DEBUG),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
def(FEAT_RIGHTLEFT),
def(FEAT_FKMAP),
!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(PROTO),
def(WSDEBUG_SENSE),
def(FEAT_MBYTE),
def(WSDEBUG_TRACE),
def(MCH_WRITE_DUMP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
!def(INET_SOCKETS),
def(NBDEBUG),
def(FEAT_GUI_GTK),
def(__BORLANDC__),
