!def(FEAT_GUI_GTK),
def(FEAT_FKMAP),
!def(FEAT_GUI_W32),
!def(FEAT_MBYTE),
def(FEAT_TOOLBAR),
!def(NO_CONSOLE),
def(PROTO),
!def(PROTO),
!def(FEAT_BEVAL),
def(FEAT_BEVAL),
def(FEAT_MBYTE),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
True,
def(FEAT_RIGHTLEFT),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(MCH_WRITE_DUMP),
def(FEAT_GUI_W32),
!def(INET_SOCKETS),
!def(RISCOS),
def(FEAT_SUN_WORKSHOP),
def(NBDEBUG),
def(DEBUG),
def(__BORLANDC__),
def(WSDEBUG_SENSE),
def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
!def(FEAT_RIGHTLEFT),
def(RISCOS),
def(WSDEBUG_TRACE),
def(LESSTIF_VERSION),
