(!def(PROTO)&!def(__BORLANDC__)),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
(!def(FEAT_BEVAL)&def(NOIME)),
!def(RISCOS),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
!def(EBCDIC),
def(WSDEBUG_SENSE),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
!def(FEAT_GUI_W32),
def(FEAT_DND),
def(EBCDIC),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
!def(NO_CONSOLE),
True,
