!def(FEAT_GUI_W32),
def(FEAT_GUI),
def(MCH_WRITE_DUMP),
def(FEAT_EMACS_TAGS),
def(WSDEBUG_SENSE),
True,
def(FEAT_FKMAP),
def(LESSTIF_VERSION),
def(DEBUG),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
!def(INET_SOCKETS),
def(NBDEBUG),
!def(FEAT_EMACS_TAGS),
def(FEAT_GUI_GTK),
!def(PROTO),
def(__BORLANDC__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(FEAT_BEVAL),
!def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
def(INET_SOCKETS),
def(FEAT_RIGHTLEFT),
def(PROTO),
def(FEAT_TOOLBAR),
def(WSDEBUG),
def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
!def(FEAT_BEVAL),
