def(RISCOS),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
!def(PROTO),
def(MCH_WRITE_DUMP),
!def(FEAT_MBYTE),
def(PROTO),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(FEAT_BEVAL),
def(FEAT_FKMAP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(DEBUG),
def(FEAT_TOOLBAR),
True,
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(NBDEBUG),
!def(FEAT_BEVAL),
!def(INET_SOCKETS),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_RIGHTLEFT),
!def(RISCOS),
def(FEAT_GUI_W32),
def(WSDEBUG),
def(__BORLANDC__),
