!def(FEAT_RIGHTLEFT),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI),
def(NBDEBUG),
def(FEAT_GUI_GTK),
True,
def(LESSTIF_VERSION),
def(FEAT_MBYTE),
def(DEBUG),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
!def(FEAT_BEVAL),
def(FEAT_RIGHTLEFT),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
def(PROTO),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
!def(RISCOS),
def(FEAT_TERMRESPONSE),
def(FEAT_CLIPBOARD),
def(__BORLANDC__),
def(JUMPLIST_ROTATE),
!def(FEAT_MBYTE),
def(FEAT_FKMAP),
def(RISCOS),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
!def(PROTO),
