(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
def(MAIN),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(LESSTIF_VERSION),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
True,
!def(INET_SOCKETS),
def(PROTO),
def(FEAT_BEVAL),
def(INET_SOCKETS),
def(DEBUG),
def(WIN32),
def(_WIN32),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_JOB_CHANNEL),
def(__MINT__),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
def(FEAT_MBYTE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(NBDEBUG),
