!def(EBCDIC),
!def(FEAT_BEVAL),
!def(FEAT_GUI_MOTIF),
def(FEAT_GUI_MOTIF),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_GTK)),
!def(WIN64),
def(FEAT_TOOLBAR),
def(FEAT_CLIPBOARD),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)&(def(FEAT_GUI_GTK)|def(FEAT_GUI_W32))),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_W32)),
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
!def(NO_CONSOLE),
def(LESSTIF_VERSION),
!def(FEAT_MBYTE),
(def(NBDEBUG)&def(FEAT_GUI_W32)),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_GTK),
def(FEAT_GUI),
!def(FEAT_RIGHTLEFT),
True,
def(WIN64),
def(FEAT_MBYTE),
!def(FEAT_GUI_W32),
def(EBCDIC),
(!def(FEAT_GUI_MOTIF)&(def(FEAT_GUI_GTK)|def(FEAT_GUI_W32))&def(FEAT_GUI_W32)),
def(DEBUG),
def(JUMPLIST_ROTATE),
!def(RISCOS),
def(FEAT_RIGHTLEFT),
def(NBDEBUG),
(!def(FEAT_BEVAL)&def(FEAT_NETBEANS_INTG)),
