!def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(FEAT_GUI_GTK),
def(__BORLANDC__),
def(FEAT_TERMRESPONSE),
def(LESSTIF_VERSION),
def(WSDEBUG),
def(MCH_WRITE_DUMP),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
!def(NO_CONSOLE),
def(JUMPLIST_ROTATE),
True,
def(PROTO),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(DEBUG),
def(FEAT_TOOLBAR),
!def(PROTO),
def(INET_SOCKETS),
