def(FEAT_PROFILE),
!def(FEAT_GUI_GTK),
True,
def(FEAT_GUI_W32),
def(WIN32),
def(MAIN),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(JUMPLIST_ROTATE),
def(__MINT__),
def(PROTO),
!def(FEAT_PROFILE),
def(INET_SOCKETS),
def(FEAT_JOB_CHANNEL),
def(LESSTIF_VERSION),
def(FEAT_SUN_WORKSHOP),
def(FEAT_BEVAL),
def(DEBUG),
!def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(NBDEBUG),
def(WSDEBUG_SENSE),
def(WSDEBUG),
def(_WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_TOOLBAR),
def(WSDEBUG_TRACE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
