!def(EBCDIC),
def(FEAT_BEVAL),
!def(WIN64),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
!def(FEAT_BEVAL),
def(EBCDIC),
def(FEAT_TOOLBAR),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&def(FEAT_GUI_W32)),
def(LESSTIF_VERSION),
(!def(FEAT_BEVAL)&def(FEAT_NETBEANS_INTG)),
(!def(FEAT_GUI_MOTIF)&(def(FEAT_GUI_GTK)|def(FEAT_GUI_W32))&def(FEAT_GUI_W32)),
!def(NO_CONSOLE),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_W32)),
def(DEBUG),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(FEAT_GUI_MOTIF),
def(JUMPLIST_ROTATE),
def(WIN64),
!def(RISCOS),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_GTK)),
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
True,
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)&(def(FEAT_GUI_GTK)|def(FEAT_GUI_W32))),
!def(FEAT_GUI_MOTIF),
def(FEAT_MBYTE),
def(FEAT_GUI_GTK),
