(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(FEAT_TERMRESPONSE),
!def(RISCOS),
def(FEAT_GUI),
(!def(FEAT_BEVAL)&def(NOIME)),
def(LESSTIF_VERSION),
True,
!def(FEAT_BEVAL),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
!def(EBCDIC),
def(FEAT_DND),
!def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
(!def(FEAT_GUI_MOTIF)&!def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)),
def(EBCDIC),
def(JUMPLIST_ROTATE),
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(DEBUG),
(!def(FEAT_GUI_MOTIF)&!def(FEAT_GUI_GTK)),
