!def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
def(NBDEBUG),
def(FEAT_GUI_GTK),
!def(RISCOS),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
def(FEAT_GUI),
def(RISCOS),
!def(FEAT_RIGHTLEFT),
def(__BORLANDC__),
True,
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_W32),
def(PROTO),
def(WSDEBUG),
def(FEAT_CLIPBOARD),
def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(FEAT_FKMAP),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
!def(FEAT_BEVAL),
!def(FEAT_MBYTE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(DEBUG),
def(FEAT_RIGHTLEFT),
