!def(EBCDIC),
!def(LESSTIF_VERSION),
def(EBCDIC),
def(FEAT_CLIPBOARD),
(!def(PROTO)&!def(__BORLANDC__)),
def(FEAT_FKMAP),
(!def(FEAT_BEVAL)&def(NOIME)),
def(FEAT_TERMRESPONSE),
True,
!def(RISCOS),
def(FEAT_DND),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
def(FEAT_MBYTE),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(FEAT_GUI),
!def(FEAT_MBYTE),
def(FEAT_RIGHTLEFT),
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
!def(NO_CONSOLE),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
!def(FEAT_BEVAL),
!def(FEAT_RIGHTLEFT),
