!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(PROTO),
def(MAIN),
def(__MINT__),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_GUI_W32),
!def(FEAT_PROFILE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_PROFILE),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
def(FEAT_FLOAT),
def(FEAT_TOOLBAR),
True,
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WIN32),
def(NBDEBUG),
def(FEAT_FKMAP),
def(FEAT_MBYTE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_RIGHTLEFT),
def(_WIN32),
def(FEAT_BEVAL_GUI),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
