!def(FEAT_GUI_W32),
def(FEAT_BEVAL),
!def(PROTO),
def(__BORLANDC__),
def(INET_SOCKETS),
True,
def(WSDEBUG_TRACE),
!def(NO_CONSOLE),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
def(PROTO),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TERMRESPONSE),
def(DEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
def(WSDEBUG_SENSE),
def(LESSTIF_VERSION),
