(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
!def(FEAT_GUI_W32),
!def(NO_CONSOLE),
!def(FEAT_BEVAL),
def(FEAT_DND),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
True,
(!def(FEAT_GUI_MOTIF)&!def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(FEAT_TOOLBAR),
!def(EBCDIC),
def(NBDEBUG),
!def(RISCOS),
(!def(FEAT_BEVAL)&def(NOIME)),
!def(LESSTIF_VERSION),
def(DEBUG),
def(FEAT_GUI_W32),
def(FEAT_GUI),
(def(NBDEBUG)&def(FEAT_GUI_W32)),
def(EBCDIC),
def(FEAT_TERMRESPONSE),
