!def(FEAT_GUI_GTK),
def(NBDEBUG),
True,
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
def(PROTO),
def(FEAT_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
def(FEAT_CLIPBOARD),
def(FEAT_RIGHTLEFT),
!def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(DEBUG),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
def(WSDEBUG),
def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
!def(PROTO),
def(FEAT_FKMAP),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
def(__BORLANDC__),
def(INET_SOCKETS),
!def(FEAT_BEVAL),
