def(WSDEBUG_TRACE),
def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(NBDEBUG),
def(WSDEBUG),
def(MAIN),
!def(FEAT_GUI_W32),
def(_WIN32),
def(FEAT_MBYTE),
def(DEBUG),
def(WIN32),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
True,
def(JUMPLIST_ROTATE),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
def(PROTO),
!def(NO_CONSOLE),
def(FEAT_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_FKMAP),
def(LESSTIF_VERSION),
def(FEAT_RIGHTLEFT),
