!def(PROTO),
def(LESSTIF_VERSION),
def(FEAT_GUI),
!def(FEAT_GUI_W32),
def(DEBUG),
def(FEAT_TERMRESPONSE),
!def(FEAT_MBYTE),
def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
def(MCH_WRITE_DUMP),
def(__BORLANDC__),
!def(INET_SOCKETS),
def(INET_SOCKETS),
!def(NO_CONSOLE),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
!def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
True,
def(FEAT_MBYTE),
