!def(FEAT_GUI_W32),
def(FEAT_PROFILE),
def(FEAT_MBYTE),
def(__MINT__),
!def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_GUI_W32),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
def(FEAT_TERMRESPONSE),
!def(FEAT_PROFILE),
def(FEAT_TOOLBAR),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG),
True,
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(MAIN),
def(INET_SOCKETS),
!def(INET_SOCKETS),
def(FEAT_BEVAL),
def(PROTO),
def(WSDEBUG_TRACE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WIN32),
def(JUMPLIST_ROTATE),
def(_WIN32),
def(NBDEBUG),
