def(FEAT_JOB_CHANNEL),
def(__MINT__),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(_WIN32),
def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
def(FEAT_PROFILE),
def(FEAT_GUI),
def(LESSTIF_VERSION),
def(WSDEBUG_SENSE),
True,
def(MAIN),
def(WSDEBUG),
def(WSDEBUG_TRACE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
def(WIN32),
!def(FEAT_PROFILE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_TOOLBAR),
def(PROTO),
def(FEAT_GUI_W32),
def(DEBUG),
def(FEAT_BEVAL_GUI),
def(FEAT_BEVAL),
!def(INET_SOCKETS),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
