!def(RISCOS),
def(INET_SOCKETS),
def(FEAT_BEVAL),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
def(FEAT_FKMAP),
def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
def(FEAT_EMACS_TAGS),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(FEAT_RIGHTLEFT),
def(LESSTIF_VERSION),
def(MCH_WRITE_DUMP),
def(FEAT_GUI),
!def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(FEAT_MBYTE),
def(PROTO),
def(JUMPLIST_ROTATE),
!def(NO_CONSOLE),
def(__BORLANDC__),
!def(FEAT_EMACS_TAGS),
def(WSDEBUG_TRACE),
!def(FEAT_BEVAL),
def(NBDEBUG),
True,
def(FEAT_TERMRESPONSE),
!def(INET_SOCKETS),
def(RISCOS),
!def(PROTO),
!def(FEAT_MBYTE),
