!def(EBCDIC),
def(EBCDIC),
def(FEAT_TERMRESPONSE),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
!def(FEAT_GUI_W32),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
def(FEAT_GUI),
(!def(PROTO)&!def(__BORLANDC__)),
!def(LESSTIF_VERSION),
!def(FEAT_MBYTE),
def(LESSTIF_VERSION),
def(FEAT_MBYTE),
def(WSDEBUG_TRACE),
!def(RISCOS),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
def(FEAT_DND),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
def(FEAT_FKMAP),
(!def(FEAT_BEVAL)&def(NOIME)),
True,
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
