!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(RISCOS),
def(WSDEBUG_TRACE),
def(FEAT_GUI_GTK),
def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
!def(FEAT_MBYTE),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
def(FEAT_RIGHTLEFT),
def(DEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(PROTO),
!def(PROTO),
def(MCH_WRITE_DUMP),
True,
!def(INET_SOCKETS),
!def(RISCOS),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
def(FEAT_FKMAP),
def(WSDEBUG_SENSE),
def(__BORLANDC__),
