!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(EBCDIC),
def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(DEBUG),
def(FEAT_FKMAP),
def(NBDEBUG),
def(__BORLANDC__),
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
def(MCH_WRITE_DUMP),
def(FEAT_GUI_GTK),
!def(PROTO),
!def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
!def(FEAT_MBYTE),
True,
def(PROTO),
def(WSDEBUG_TRACE),
!def(EBCDIC),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
def(RISCOS),
!def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
!def(RISCOS),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
